"","Date","location","operator","planeType","Dead","Aboard","Ground"
"808","1946-01-15","Marseilles, France","Military -Royal Air Force","Douglas C-47 Dakota",23,25,0
"809","1946-01-18","Cheshire, Connecticut","Eastern Air Lines","Douglas DC-3-201E",17,17,0
"810","1946-01-19","Crowsnest Pass, Alberta, Canada","Mililtary - Royal Canadian Air Force","Douglas DC-3 Dakota",7,7,0
"811","1946-01-30","Near Le Mans, France","Military - Royal Air Force","Douglas C-47B",11,11,0
"812","1946-01-31","Mt. Elk, Wyoming","United Air Lines","Douglas DC-3-194H",21,21,0
"813","1946-02-05","Negros, Philippines","Military - U.S. Army Air Forces","Douglas C-47",20,20,0
"814","1946-02-21","Charlottetown, PE, Canada","British Overseas Airways","Consolidated 32-2 Liberator II",1,14,0
"815","1946-03-03","Live Oak Springs, California","American Airlines","Douglas DC-3-227B",27,27,0
"816","1946-03-05","Near Prague, Czechoslovakia","Ceskoslovenske Aerolinie","Junkers JU-52/3m",12,15,0
"817","1946-03-10","Off Hobart, Tasmania","Australian National Airways","Douglas DC-3 (C-47DL)",25,25,0
"818","1946-03-17","Near Nanking, China","Military - Chinese Air Force","?",20,20,0
"819","1946-03-18","Between Chungking and Shanghai, China","China National Aviation Corporation","?",NA,NA,NA
"820","1946-03-19","Hobart Mills, California","Military - U.S. Army Air Forces","Douglas C-47B",26,26,0
"821","1946-03-23","Off Ceylon, Cocos Islands, Indian Ocean","British Overseas Airways /Qantas","Avro 691 Lancastrian 1",10,10,0
"822","1946-04-01","near Craigavad, Northern Ireland","Railway Air Services Ltd.","de Hvilland 89A Dragon Rapide",6,6,0
"823","1946-04-05","Rabat, Malta","Military - Royal British Navy","Vickers Wellington bomber",4,4,16
"824","1946-04-08","Near Shensi, China","?","?",14,14,0
"825","1946-04-22","La Liberiad, Nicaragua","TACA","Lockheed 14 Super Electra",20,21,0
"826","1946-04-30","Pindi-Khut ,India","Military - Royal Air Force","Douglas C-47A",12,12,0
"827","1946-05-10","Munson, Florida","Military U.S. Navy / Military - U.S. Navy","PBY4-2 Privateer / PB4Y-2 Privateer",28,28,0
"828","1946-05-16","Richmond, Virginia","Viking Air Transport","Douglas DC-3",27,27,0
"829","1946-05-22","Oslo, Norway","DNL Norwegian Air Lines","Junkers JU-52/3m",13,14,0
"830","1946-06-01","Off Amalfi, Italy","Military - U.S. Army Air Forces","Douglas C-54-DO (DC-4)",30,38,0
"831","1946-06-09","Taboga Island, Panama","Military - U.S. Army Air Forces","Douglas C-54D-DC (DC-4)",23,23,0
"832","1946-06-09","Near Abeokuta, Nigeria","Military -Royal Air Force","Douglas C-47 Dakota",18,18,0
"833","1946-06-29","Off Malaya","Military - Royal Air Force","Douglas C-47B",18,18,0
"834","1946-06-29","Pau, France","Air France","Junkers Ju-52/3m",2,3,0
"835","1946-07-09","Holyoke, Massachusetts","Military - U.S. Army Air Forces","Boeing B17G",25,25,0
"836","1946-07-11","Reading, Pennsylvania","Trans Continental and Western Air","Lockheed L-049 Constellation",5,6,0
"837","1946-07-13","Tsinan, China","Central Air Transport","Curtiss C-46",13,49,0
"838","1946-07-17","Cuenca, Ecuador","ANDESA","Curtiss C-46D-10-CU",30,30,0
"839","1946-07-18","Goodland, Kansas","Military - U.S. Army Air Corps","Douglas C-47",13,13,0
"840","1946-07-20","Off the Panama coast","Military -  (2) U.S. Army Air Forces","Boeing B-17G / Boeing B-17G",20,20,0
"841","1946-07-25","Bassein, Burma","Military -Royal Air Force","Douglas C-47 Dakota",22,22,0
"842","1946-07-26","Near Huatesco, Veracruz, Mexico","Communicaciones Aereos de veracruz","Fairchild Pilgrim 100A",9,9,0
"843","1946-08-07","Oslo, Norway","British European Airways","Douglas C-47A-10-DK",3,16,0
"844","1946-08-09","Lakehurst, New Jersey","Atlantic Central Airlines","Lockheed 18-56 Lodestar",4,6,0
"845","1946-08-14","Malta-Luqa, Malta","BOAC","Douglas C-47A",1,5,0
"846","1946-08-20","Rouen, France","British Overseas Airways","Avro 691 Lancastrian 1",8,9,0
"847","1946-08-21","Moline, Illinois","Trans Luxury Airlines","Douglas C-47-DL",2,25,0
"848","1946-08-24","Cairo, Egypt","Misrair","Avro Anson",6,9,0
"849","1946-08-31","Near Prince Rupert, British Columbia, Canada","Queen Charlotte Airlines","Supermarine Stranraer (flying boat)",7,7,0
"850","1946-09-03","Holtug, Denmark","Air France","Douglas DC-3 (C-53D-DO)",22,22,0
"851","1946-09-04","Le Bourget, France","Air France","Douglas DC-3",20,26,1
"852","1946-09-05","Elko, Nevada","Trans-Luxury Airlines","Douglas DC-3 (C-47-A5-DL)",21,22,0
"853","1946-09-07","Bathurst, Gambia","British South American Airways","Avro 685 York I",24,24,0
"854","1946-09-07","Nome, Alaska","Mt. McKinley Airfreight","Douglas C-47A",4,4,0
"855","1946-09-15","Estevan, Saskatchewan, Canada","Military - Royal Canadian Air Force","Douglas C-47A Dakota",21,21,0
"856","1946-09-17","Brussels, Belgium","Sabena","Douglas C-47-DL",1,7,0
"857","1946-09-18","Near Gander, Newfoundland","Sabena","Douglas DC-4-1009",27,44,0
"858","1946-09-19","Near Tripoli, Libya","Military -Royal Air Force","Avro Lancaster",25,25,0
"859","1946-09-20","Lochi Mountain, China","China National Aviation Corporation","Curtiss Wright C-46",28,28,0
"860","1946-09-25","Near Hong Kong International Airport","Military - Royal Air Force","Douglas C-47B-25-DK",19,19,0
"861","1946-09-27","Near Milngavie, Stirlingshire, Scotland","Railway Air Service Ltd.","de Havilland 89A Dragon Rapide",7,7,0
"862","1946-09-27","Rio Doce, Brazil","Panair do Brasil","Douglas DC-3A-228D",25,25,0
"863","1946-10-03","Stephenville, Newfoundland","American Overseas Airlines","Douglas C-54E-5-DO",39,39,0
"864","1946-10-06","Off Penang, Malaya","Military -Royal Air Force","Avro 685 York 1",21,21,0
"865","1946-10-07","Apeldoorn, The Netherlands","Military - Royal Netherlands Naval Air Service","Fairey Firefly MK1",1,1,22
"866","1946-10-08","Cheyenne, Wyoming","United Air Lines","Douglas DC-4",2,41,0
"867","1946-10-10","Near Sefrou, Morocco","Air Ocean","Junkers Ju-52/3m",16,16,0
"868","1946-10-17","Near Chitral, India","Military - Royal Air Force","Douglas C-47B",11,11,0
"869","1946-10-17","Laramie, Wyoming","National Air Transport Services","Douglas DC-3",13,13,0
"870","1946-10-23","Gebel Kalamoun, Egypt","Socotra","Junkers JU-52/3m",1,24,0
"871","1946-11-01","St Leger-la-Montagne, France","CTA Languedoc Roussillon","AAC-1 Toucan",23,27,0
"872","1946-11-05","Near Moscow, Russia","Aeroflot","Douglas C-47",13,26,NA
"873","1946-11-11","Cleveland, Ohio","United Air Lines","Douglas DC-3 (C-53D-DO)",2,20,0
"874","1946-11-13","Lebec, California","Western Airlines","Douglas C-53D-DO (DC-3)",11,11,0
"875","1946-11-13","Near Cofre de Perote, Mexico","Empressa Commun. A????reas de Veracruz","Douglas DC-3",15,15,0
"876","1946-11-14","Amsterdam, Netherlands","KLM Royal Dutch Airlines","Douglas C-47A-90 DL (DC-3)",26,26,0
"877","1946-11-16","North Pacific Ocean","Military - U.S. Army Air Forces","Douglas C-47",23,23,0
"878","1946-11-26","San Jose, Costa Rica","Lineas A????reas Costarricenses  LACSA","Douglas DC-3 (C-47A-90-DL)",22,22,0
"879","1946-11-30","El Palomar, Argentina","Fuerza A????rea Argentina","Vickers 620 Viking 1",5,18,0
"880","1946-12-04","Meshed, Iran","Aeroflot","Lisunov Li-2",24,24,0
"881","1946-12-10","Near Osaka, Japan","Military - U.S. Army Air Forces","Curtiss-Wright C-46F-CU",24,24,0
"882","1946-12-10","Toledo, Washington","Military - U.S. Marine Corps","Curtiss-Wright R5C-1",32,32,0
"883","1946-12-14","Mt. Banahaur, Philippines","Far Eastern Air Transport","Douglas DC-3 (C-47-B-1-DK)",12,14,0
"884","1946-12-17","Caribbean, Atlantic Ocean","Winged Cargo Inc.","Douglas C-47A",7,7,0
"885","1946-12-23","Near Rio de Janeiro, Brazil","FAMA (Argentina)","Avro  685 York I",21,21,0
"886","1946-12-24","Near San Diego, California","Western Airlines","Douglas DC-3 ( C-53D-DO)",12,12,0
"887","1946-12-25","Shanghai, China","CNAC","Douglas DC-3C",37,40,0
"888","1946-12-25","Near Wusong, Jiangsu, China","China National Aviation Corporation","Curtiss C-47",10,13,3
"889","1946-12-25","Near Shanghai, China","CNAC","Curtis C-46",21,29,0
"890","1946-12-28","Michigan City, Indiana","American Airlines","Douglas DC-3 (C-50A-DO)",2,21,0
"891","1946-12-28","Near Shannon, Ireland","Trans Continental and Western Air","Lockheed 049 Consellation",13,23,0
"892","1946-12-28","Walshville, Illinois","Kansas City Southern Skyways","Douglas C-47A",2,2,0
"893","1947-01-03","Sao Paulo, Brazil","Panair do Brasil","Sikorsky S-43B (flying boat)",11,14,0
"894","1947-01-05","Tsingtao, China","China National Aviation Corporation","Douglas DC-4",38,38,0
"895","1947-01-05","Carmel, New Jersey","Nationwide Air Transport","Douglas DC-3",3,23,0
"896","1947-01-11","Off Laoag, China","Far Eastern Air Transport","Douglas DC-4 (C-54A-DO)",7,42,0
"897","1947-01-11","Near Lympne, England","British Overseas Airways","Douglas C-47A-1-DK",8,16,0
"898","1947-01-12","Near Galax, Virginia","Eastern Air Lines","Douglas DC-3",18,19,0
"899","1947-01-14","Near Puebla, Mexico","Military - Mexican Air Force","Lockheed C-60 Lodestar",21,21,0
"900","1947-01-22","Puesto Araujo, Colombia","AVIANCA","Douglas DC-3 ( C-47-DO)",17,17,0
"901","1947-01-25","Croydon, Surrey, England","Spencer Airways / Ceskoslovenske Aerolinie","Douglas C-47 / Douglas DC-3",12,23,0
"902","1947-01-25","Hong Kong","Philippine Air Lines","Douglas C-47A",4,4,0
"903","1947-01-25","Chongqing, China","China National Aviation Corporation","Douglas DC-3",19,19,0
"904","1947-01-26","Copenhagen, Denmark","KLM Royal Dutch Airlines","Douglas C- C47A-30DK",22,22,0
"905","1947-01-28","Near Hankow, China","China National Aviation Corporation","Curtiss C-46",25,26,0
"906","1947-02-01","Near Lisbon, Portugal","Air France","Douglas DC-3C",15,16,0
"907","1947-02-05","Harrington, Delaware","International Air Freight","Douglas DC-3",1,3,0
"908","1947-02-06","Pedro Bernardo, Spain","Aerovias Cuba International","Douglas C-54B-15-DO",12,12,0
"909","1947-02-14","Denver, Colorado","Slick Airways","Curtiss C-46E",2,2,0
"910","1947-02-15","Off Terracina, Italy","Military - Corrieri Aerei Militari","Savoia-Marchetti SM-95",16,16,0
"911","1947-02-15","Near Bogota, Colombia","AVIANCA","Douglas DC-4",53,53,0
"912","1947-02-21","Chungking, China","Military - Chinese Air Force","Douglas C-47",21,21,0
"913","1947-02-26","China Sea, Pacific Ocean","Military - Royal Air Force","Douglas C-47B",12,12,0
"914","1947-03-05","Near Georgia, USSR","Aeroflot","Doublas C-47",23,23,0
"915","1947-03-08","Cordillera, Colombia","VIARCO","Douglas C-47-DL",9,9,0
"916","1947-03-08","L'isola di Ischia, Italy","Military - Royal Air Force","Douglas C-47B",13,13,0
"917","1947-03-14","Mt. Moucherolles, France","Air France","Douglas DC-3 (C-47A-90-DL)",23,23,0
"918","1947-03-17","Near Medellin, Colombia","TACA","Lockheed 18 Lodestar",8,8,0
"919","1947-03-18","Negombo, Sri Lanka","Military - Royal Air Force","Avro York C1",11,15,0
"920","1947-04-08","Near Caracas, Venezuela","Linea Aeropostal Venezolana","Douglas C-47A",27,27,0
"921","1947-04-13","Off Dakar, Senegal","British South American Airways","Avro 685 York I",6,15,0
"922","1947-04-22","Columbus, Georgia","Delta Air Lines","Douglas DC-3 (C-47DL) /Vultee BT-13",10,10,0
"923","1947-04-28","Near Vancouver, British Columbia, Canada","Trans Canada Air Lines","Lockheed 18 Loadstar",15,15,0
"924","1947-05-03","Near Nicoya, Guanacaste, Costa Rica","TACA","Lockheed 18 Loadstar",11,11,0
"925","1947-05-11","Delaware Bay, New Jersey","Trans Continental and Western Air","Lockheed L-049 Constellation",4,4,0
"926","1947-05-16","Near Khabarovsk, Russia","Aeroflot","Douglas DC-47",22,22,0
"927","1947-05-29","Atsugi, Japan","Military - U.S. Army Air Forces","Douglas C-54D-DC (DC-4)",40,40,0
"928","1947-05-29","La Guardia Airport, Queens, New York","United Air Lines","Douglas C-54B",43,48,0
"929","1947-05-29","Hjedinsfjordur, Iceland","Flugefelag","Douglas DC-3",25,25,0
"930","1947-05-30","Port Deposit, Maryland","Eastern Air Lines","Douglas C-54B-15-DO",53,53,0
"931","1947-06-04","Near Gemenos, France","Air France","Junkers Ju-52",2,2,0
"932","1947-06-11","Natal, Argentina","Flota A????rea Mercante Argentina","Avro Lancaster",5,18,0
"933","1947-06-13","Leesburg, Virginia","Pennsylvania Central Airlines","Douglas DC-4 (C-54-DO)",50,50,0
"934","1947-06-19","Al Mayadin, Syria","Pan American World Airways","Lockheed 049-46-21 Constellation",14,36,0
"935","1947-06-21","Black Sea, Gulf of Karkinitsky","Aeroflot","Li-2",8,29,0
"936","1947-07-01","Near Eaeka, French Cameroons","Air France","Junkers JU-52/3m",13,13,0
"937","1947-07-13","Melbourne, Florida","Burke Air Transport","Douglas DC-3",14,36,0
"938","1947-07-15","Vichy ,France","Aero Cargo","Junkers Ju-52/3m",1,19,0
"939","1947-07-16","Az-Zubair, Iran","British Overseas Airways","Avro 685 York",6,6,0
"940","1947-07-25","Moron, Argentina","Flota A????rea Mercante Argentina","Avro 685 York I",2,6,2
"941","1947-07-31","Near Yumen, China","Military - Chinese Air Force","Douglas C-47",26,26,0
"942","1947-08-02","Andes, Argentina","British South American Airways","Avro 691 Lancastrian 3",11,11,0
"943","1947-08-06","North Pacific Ocean","Military - U.S. Navy","Consolidated PBY-5A Catalina",20,20,0
"944","1947-08-08","New York, New York","American Airlines","Douglas DC-3C",3,5,0
"945","1947-08-09","Malmo, Sweden","AB Aerotransport","Douglas DC-3F",1,5,0
"946","1947-08-13","Bucharest, Romania","Transporturile Aeriene Romano-Sovietice","Lisunov Li-2",3,3,0
"947","1947-08-21","Hanksville, Utah","Slick Airways","Curtiss C-46E",3,3,0
"948","1947-08-23","Bahrain, Persian Gulf","British Overseas Airways","Short Sandringham 5 (flying boat)",10,26,0
"949","1947-08-28","Harsiad, Norway","Norwegian Airlines","Short Sandringham (flying boat)",35,35,0
"950","1947-10-08","Near El Paso, Texas","American Airlines","Douglas DC-4",0,54,0
"951","1947-10-16","Sylva, North Carolina","Stratofreight","Douglas DC-3",3,3,0
"952","1947-10-16","Off Cartegena, Spain","Societe Aerienne du Littoral","Bristol 170 Freighter I",41,43,0
"953","1947-10-24","Bryce Canyon, Utah","United Air Lines","Douglas DC-6",53,53,0
"954","1947-10-26","Annette Island, Alaska","Pan American World Airways","Douglas DC-4A",18,18,0
"955","1947-10-26","Near Mt. Hymettus, Greece","AB Aerotransport","Douglas DC-4-1009",44,44,0
"956","1947-10-31","Srinagar, India","Military - Royal Indian Air Force","Douglas C-47B",25,25,0
"957","1947-11-02","Off Barrio Rizal, Philippines","Philippine Air Express","Douglas DC-3",5,5,0
"958","1947-11-11","Gallup, New Mexico","American Airlines","Douglas DC-6",0,25,0
"959","1947-11-13","Near Bouchox, France","Soci????t???? Auxiliare de Navigation A????rienne","Junkers Ju-52/3m",2,2,0
"960","1947-11-18","Ravello, Italy","Trafik-Turist-Transportflyg","Bristol 170 Freighter XI",20,25,0
"961","1947-11-18","Newcastle, Delaware","Trans Continental and Western Air","Lockheed L-049-46-26 Constellation",5,5,0
"962","1947-11-21","Phouznicie, Romania","TARS","Lisunov Li-2",13,26,0
"963","1947-11-27","Montenegrin Mountains, Yugoslavia","JAT Yugoslav Airlines","Douglas DC-3",22,22,0
"964","1947-11-27","Yakutat, Alaska","Columbia Air Cargo","Douglas DC-3C",13,13,0
"965","1947-11-27","?","China National Aviation Corporation","Douglas DC-3",2,3,0
"966","1947-11-28","Near Trappa, Italy","Military - U.S. Air Force","Douglas C-47B",20,20,0
"967","1947-11-30","Seattle, Washington","Alaska Airlines","Douglas C-54A",8,28,1
"968","1947-12-10","Near Goose Bay, Labrador","Military - U.S. Air Force","Douglas C-54D-DC (DC-4)",23,29,0
"969","1947-12-11","Near Memphis, Tennessee","Military - U.S. Air Force","Douglas C-47-DK",20,20,0
"970","1947-12-18","Krasnoyarsk, Russia","Aeroflot","Ilyushin IL-12",9,25,0
"971","1947-12-23","Kunming, China","Air Transport","Short  S-29 Stirling V",25,30,0
"972","1947-12-27","Korangi Creek, India","Air India","Douglas DC-3 (C-47)",23,23,0
"973","1947-12-28","Leon, Mexico","Servicio A????reo Panini","Douglas DC-2-172",5,9,3
"974","1948-01-06","Paris, France","Air France","Douglas DC-3D",16,16,0
"975","1948-01-06","Ruislip, England","British European Airways","Vickers 610 Viking 1B",1,18,0
"976","1948-01-07","Near Savannah, Georgia","Coastal Air Lines","Douglas DC-3",18,27,0
"977","1948-01-08","Near Palestro, Algeria","Transport Comp. Algerienne de T.A.","Douglas DC-3",9,9,0
"978","1948-01-11","Ciudad Havajillo, Dominican Republic","Dominicana","Douglas DC-3",32,32,0
"979","1948-01-13","Oxon Hill, Maryland","Eastern Air Lines","Douglas DC-3-201F",5,9,0
"980","1948-01-20","Near Mukden, China","China National Aviation Corporation","Curtiss C-46",11,54,0
"981","1948-01-28","Diablo Mts., California","Airline Transport Carriers","Douglas DC-3 (C-47B-DK)",32,32,0
"982","1948-01-30","Atlantic Ocean, NE of Bermuda","British South American Airways","Avro 688 Tudor I",31,31,0
"983","1948-02-07","Off Jacksonville, Florida","Eastern Air Lines","Lockheed L-649 Constellation",1,69,0
"984","1948-02-10","Near Padalarang, Indonesia","KLM Royal Dutch Airlines","Douglas DC-3",19,19,0
"985","1948-02-12","Ubrichstein, Germany","Det Danske Luftfartselskab","Douglas DC-3",12,21,0
"986","1948-02-20","Collesalvetti,  Italy","Societ???? Aerea Teseo","Douglas C-47-DL",7,10,0
"987","1948-02-21","Off St. Marcouf, France","Latecoere Airlines","Latecoere 631 (flying boat)",14,14,0
"988","1948-02-23","Davao, Philippines","Commercial Airways","Douglas DC-3",12,12,0
"989","1948-02-25","Columbus, Ohio","Bruning Aviation","Douglas C-47A",2,2,0
"990","1948-02-27","Near Belem, Brazil","Military - Brazilian Air Force","Douglas C-47",23,26,0
"991","1948-03-02","Heathrow Airport, London, England","Sabena","Douglas DC-3",20,22,0
"992","1948-03-02","Off Perpignan, France","Soci????t???? de Transports A????riens","Junkers Ju-52/3m",4,4,0
"993","1948-03-07","Near Skalafell, Iceland","Loftleidir Icelandic Airlines","Avro Anson",5,5,0
"994","1948-03-10","Chicago, Illinois","Delta Air Lines","Douglas DC-4",12,13,0
"995","1948-03-12","Mt. Sanford, Alaska","Northwest Orient Airlines","Douglas DC-4 (C-54G-1-DO)",30,30,0
"996","1948-03-13","Sierra Cristais, Brazil","Cruzeiro","Douglas DC-3",6,6,0
"997","1948-03-15","Villa Pinzon, Colombia","Agencia Interamericana de Aviada","Douglas DC-3 (C47-DL)",14,14,0
"998","1948-03-27","Monte Cardo, Corsica, France","Indian National Airlines","Vickers 604 Viking 1B",19,19,0
"999","1948-04-05","Near Berlin, Germany","British European Airways / Military - Soviet Air Force","Vickers Viking 1B & Soviet YAK-3 fighter",15,15,0
"1000","1948-04-15","Shannon, Ireland","Pan American World Airways","Lockheed L-049-46 Constellation",30,31,0
"1001","1948-04-18","Territory of New Guinea","New Guinea Air Traders","Lockheed Hudson IIIA",37,37,0
"1002","1948-04-24","Near Irkutsk Russia","Aeroflot","Lisnov Li-2",28,29,0
"1003","1948-05-13","Mount Coron, France","Skyways of London","de Havilland Dove 1",10,10,0
"1004","1948-05-13","Near Magazini, Belgian Congo (Zaire)","Sabena","Douglas DC-4-1009",31,32,0
"1005","1948-05-15","Vrede, South Africa","Mercury Aviation","Douglas DC-3-455",13,13,0
"1006","1948-05-16","Columbus, Ohio","Slick Airways","Curtiss C-46E",2,2,0
"1007","1948-05-20","Near Bovingdon, England","Air Transport Charter","Douglas C-47A",3,4,0
"1008","1948-05-22","Khabarovsk, Russia","Aeroflot","Douglas C-47",8,9,0
"1009","1948-05-25","Albacete, Spain","Alpha Airways","Handley Page Halifax C-8",4,4,1
"1010","1948-06-10","Isle of Man","Hargreaves Airways","de Havilland DH-89A Dragon Rapide",6,8,0
"1011","1948-06-17","Over the Pearl River, China","Cathy Pacific","PBY Catalina",25,26,0
"1012","1948-06-17","Mount Carmel, Pennsylvania","United Air Lines","Douglas DC-6",43,43,0
"1013","1948-06-26","Maiquetia, Venezuela","Linea Aeropostal Venezolana","Douglas DC-3",1,17,0
"1014","1948-07-01","Keerbergen, Belgium","Avio Linee Italiane","Fiat G.212CP",8,12,0
"1015","1948-07-04","Northolt, Middlesex, England","Scandinavian Airlines (SAS)","Douglas DC-6 / RAF York",39,39,0
"1016","1948-07-07","Djiring, French Indo-China","Aigle Azur","Douglas DC-3",16,16,0
"1017","1948-07-14","Belem, Brazil","Aerovias Brasil","Douglas C-47A",5,5,0
"1018","1948-07-16","Pacific Ocean between Hong Kong and Macao","Cathay Pacific Airways","Consolidated OA-10 Catalina",25,26,0
"1019","1948-07-24","Cap-des-Rosiers, Quebec, Canada","Rimouski Airlines","Douglas DC-3",26,26,0
"1020","1948-07-29","Buenos Aires, Argentina","ALFA","Short Sandringham 2 (flying boat)",18,24,0
"1021","1948-07-29","Tsingtao, China","Civil Air Transport","Curtiss C-46D-20-CU",19,19,0
"1022","1948-08-01","1,200 miles off Dakar, Atlantic Ocean","Air France","Latecoere 631 (flying boat)",52,52,0
"1023","1948-08-01","Karachi, Pakistan","Onzeair","Avro 691 Lancastrian (flying boat)",4,4,0
"1024","1948-08-09","Port Underwood, New Zealand","New Zealand National Airways","Douglas C-47B",2,2,0
"1025","1948-08-20","La Guaira, Venezuela","Avensa","Douglas C-47A",3,3,0
"1026","1948-08-29","Near Winona, Minnesota","Northwest Orient Airlines","Martin 202",37,37,0
"1027","1948-08-31","Near Elizabethville, Belgium Congo","Sabena","Douglas DC-3 (Douglas C-47A-10-DK)",13,13,0
"1028","1948-09-02","Near Quirindi, Australia","Australian National Airways","Douglas DC-3",13,13,0
"1029","1948-10-02","Near Trondheim, Norway","Norwegian Airlines","Short Sandringham 6 (flying boat)",19,45,0
"1030","1948-10-12","Near Yevlakh, Azerbaijan, USSR","Aeroflot","Ilyushin Il12",10,10,0
"1031","1948-10-21","Prestwick Airport, Scotland","KLM Royal Dutch Airlines","Lockheed 049-46-25 Constellation",40,40,0
"1032","1948-10-23","Mt. Ruapehu, New Zealand","New Zealand National Airways","Lockheed 10A Electra",13,13,0
"1033","1948-10-25","Georgian SSR, USSR","Aerflot","Lisunov Li-2",18,18,0
"1034","1948-10-27","Near Edmonton, Alberta, Canada","Northwest Orient Airlines","Douglas C-54A",2,5,0
"1035","1948-11-03","Near Glossop, England","Military - U.S. Air Force","Boeing B-29A Superfortress",13,13,0
"1036","1948-11-04","Cape Spencer, Alaska","Pacific Alaska Air Freight","Douglas DC-3",17,17,0
"1037","1948-11-08","Mt. Macedon, Australia","Australian National Airways","Douglas DC-3",3,23,0
"1038","1948-11-11","Liverpool, England","Mannin Airways","de Havilland DH-89A Dragon Rapide",7,8,0
"1039","1948-11-22","Near Ryzhovo, Russia","Aeroflot","Lisunov Li-2",23,26,NA
"1040","1948-11-26","Vehari, Pakistan","Pakistan Airways","Douglas DC-3",21,21,0
"1041","1948-12-05","Kiangwan, China","Central Air Transport","Curtiss C-46",9,40,0
"1042","1948-12-06","Milan, Italy","Avio Linee Italiane
Avio Linee Italiane","Douglas C-47",7,7,0
"1043","1948-12-12","Taipei, Taiwan","China National Aviation Corporation","Douglas DC-3",2,10,0
"1044","1948-12-15","Near Bogata, Colombia","LANSA","Douglas C-47",30,30,0
"1045","1948-12-21","Basalt Island, Hong Kong","China National Aviation Corporation","Douglas C-54B-5-DO",33,33,0
"1046","1948-12-21","Near Pilos, Greece","Ceskoslovenske Aerolinie","Douglas DC-3",24,24,0
"1047","1948-12-23","Near Madrid, Spain","Iberia Airlines","Douglas DC-3 (C-47-DL)",27,27,0
"1048","1948-12-28","Off San Juan, Puerto Rico","Airborne Transport","Douglas DC-3DST",32,32,0
"1049","1948-12-31","Mt. Argentari, Italy","Pan African Air Charter","Douglas DC-3",13,13,0
"1050","1949-01-02","Seattle, Washington","Seattle Air Charter","Douglas DC-3 (C-47A-DL)",14,30,0
"1051","1949-01-05","Caravelas Bay, Brazil","British South American Airways","Avro 685 York 1",3,17,0
"1052","1949-01-06","Brandywine, Maryland","Coastal Cargo","Douglas C-47A",2,2,0
"1053","1949-01-11","Near Pelotas, Brazil","Viacao Aerea Gaucha S.A.","Lockheed 18 Lodestar",12,12,0
"1054","1949-01-15","Ras-el-Tin, Egypt","Pan African Air Charter","Douglas C-54 Skymaster",30,30,0
"1055","1949-01-16","Near Srinagar, India","Dalmia Jain Airways","Douglas DC-3",13,13,0
"1056","1949-01-17","Atlantic Ocean, off Bermuda","British South American Airways","Avro 688 Tudor 4B",20,20,0
"1057","1949-01-17","Near Succoth Glen, Lochgoilhead, Scotland","Military - U.S. Air Force","Boeing B-29A Superfortress",20,20,0
"1058","1949-01-20","Homer, Alaska","Alaska Airlines","Douglas DC-3C",5,6,0
"1059","1949-01-30","Port Washington, New York","Pan American World Airways","Lockheed L-749 / Cessna 140",2,35,0
"1060","1949-02-02","Trinity Bay, Newfoundland","Saint Lawrence Airways","Avro Anson",6,10,0
"1061","1949-02-04","Castel Benito, Libya","Skyways of London","Douglas C-54A-1-DO Skymaster",1,53,0
"1062","1949-02-05","Buenaventura Bay, Colombia","AVIANCA","Consolidated PBY-5A Catalina",3,14,0
"1063","1949-02-08","Off Copenhagen, Denmark","Scandinavian Airlines (SAS)","Vickers 628 Viking 1B",27,27,0
"1064","1949-02-10","Near Huanuco, Peru","Faucett","Douglas DC-3",16,16,0
"1065","1949-02-19","Near Coventry, Warks, England","British European Airways / Military - British","Douglas DC-3 / Avro Anson",14,14,0
"1066","1949-02-24","Near Cuzco, Peru","TAM (Peru)","Douglas C-47",22,26,0
"1067","1949-02-24","Braemar Resevoir, Hong Kong","Cathay Pacific Airways","Douglas DC-3",23,23,0
"1068","1949-03-10","Coolangatta, Australia","Queensland Airlines","Lockheed 18 Lodestar",16,16,0
"1069","1949-03-15","Berlin, Germany","Skyways","Avro 685 York I",3,3,0
"1070","1949-03-18","Near Waikanae, New Zealand","New Zealand National Airways","Lockheed 18 Lodestar",15,15,0
"1071","1949-04-29","Near Mironovo, Russia","Aeroflot","Lisunov Li-2",14,24,0
"1072","1949-05-04","Near Portland, Dorset, England","Bristop Aeroplane Company","Bristol 170 Freighter 31 Mark II",7,7,0
"1073","1949-05-04","Superga, Italy","Avio Linee Italiane","FIAT G-212CP",31,31,0
"1074","1949-05-07","Sibuyan Sea, off the Philippine island of Elalat","Philippine Air Lines","Douglas DC-3",13,13,0
"1075","1949-05-13","Near  Novosibirsk, Russia","Aeroflot","Ilyushin IL-12",25,25,0
"1076","1949-06-06","Malahasa Attica, Greece","Tech - Aeronautical Explotiation","Douglas DC-3",22,22,0
"1077","1949-06-07","San Juan, Puerto Rico","Strato Freight","Curtiss C-46D-5-CU",53,81,0
"1078","1949-06-07","Near Florianpolis, Brazil","Military - Brazilian Air Force","Douglas C-47B",27,27,0
"1079","1949-06-23","Off Bari, Italy","KLM Royal Dutch Airlines","Lockheed 749-79-33 Constellation",33,33,0
"1080","1949-07-02","Near Guildford, Australia","Mac Roberston-Miller Airlines","Douglas C-47A-20-DL",18,18,0
"1081","1949-07-12","Chatsworth, California","Standard Airlines","Curtiss C-46E-1-CS",35,48,0
"1082","1949-07-12","Near Bombay, India","KLM Royal Dutch Airlines","Lockheed L-749-79-33 Constellation",45,45,0
