"","date","pce","pop","psavert","uempmed","unemploy"
"495",2008-09-01,10083.2,305309,4.4,10.2,9494
"496",2008-10-01,9983.3,305554,5.4,10.4,10074
"497",2008-11-01,9851.2,305786,6.3,9.8,10538
"498",2008-12-01,9744.2,306004,6.5,10.5,11286
"499",2009-01-01,9792.1,306208,6.5,10.7,12058
"500",2009-02-01,9775.7,306402,5.9,11.7,12898
"501",2009-03-01,9742.9,306588,6.1,12.3,13426
"502",2009-04-01,9741.9,306787,6.7,13.1,13853
"503",2009-05-01,9759.7,306984,8.1,14.2,14499
"504",2009-06-01,9807.6,307206,6.7,17.2,14707
"505",2009-07-01,9835.2,307439,6,16,14601
"506",2009-08-01,9961.9,307685,4.9,16.3,14814
"507",2009-09-01,9875.4,307946,5.9,17.8,15009
"508",2009-10-01,9924.6,308189,5.4,18.9,15352
"509",2009-11-01,9946.1,308418,5.7,19.8,15219
"510",2009-12-01,10000.6,308633,5.7,20.1,15098
"511",2010-01-01,10003.4,308833,5.6,20,15046
"512",2010-02-01,10034.7,309027,5.2,19.9,15113
"513",2010-03-01,10095.5,309212,5,20.4,15202
"514",2010-04-01,10106.9,309191,5.6,22.1,15325
"515",2010-05-01,10140.2,309376,6,22.3,14849
"516",2010-06-01,10165.9,309562,5.9,25.2,14474
"517",2010-07-01,10184.3,309767,5.9,22.3,14512
"518",2010-08-01,10247.1,309989,5.8,21,14648
"519",2010-09-01,10268.9,310218,5.6,20.3,14579
"520",2010-10-01,10343.7,310451,5.4,21.2,14516
"521",2010-11-01,10399.8,310657,5.3,21,15081
"522",2010-12-01,10436.1,310853,5.9,21.9,14348
"523",2011-01-01,10474.7,311042,6.2,21.6,14046
"524",2011-02-01,10512.4,311205,6.4,21.1,13828
"525",2011-03-01,10583.5,311367,6,21.5,13728
"526",2011-04-01,10624.6,311548,5.9,20.9,13956
"527",2011-05-01,10653.1,311729,5.9,21.6,13853
"528",2011-06-01,10676.4,311923,6.1,22.3,13958
"529",2011-07-01,10727.1,312139,6.3,22,13756
"530",2011-08-01,10745.6,312355,6.2,22.4,13806
"531",2011-09-01,10790.6,312587,5.7,22,13929
"532",2011-10-01,10827.6,312810,5.5,20.5,13599
"533",2011-11-01,10828.7,313003,5.6,20.9,13309
"534",2011-12-01,10827.3,313191,6.4,20.5,13071
"535",2012-01-01,10905.5,313373,6.6,21,12812
"536",2012-02-01,10979.2,313537,6.7,19.8,12828
"537",2012-03-01,10994.3,313705,6.9,19.2,12696
"538",2012-04-01,11030.2,313881,7,19.1,12636
"539",2012-05-01,11029,314052,7,19.9,12668
"540",2012-06-01,11032.5,314247,7.1,20.1,12688
"541",2012-07-01,11074.8,314449,6.6,17.5,12657
"542",2012-08-01,11104.8,314673,6.4,18.5,12449
"543",2012-09-01,11179.6,314909,6.5,18.8,12106
"544",2012-10-01,11199.9,315129,7.1,19.7,12141
"545",2012-11-01,11222.8,315341,8.2,18.5,12026
"546",2012-12-01,11245.2,315532,10.5,17.6,12272
"547",2013-01-01,11303.2,315701,4.5,16.2,12497
"548",2013-02-01,11371.4,315869,4.7,17.5,11967
"549",2013-03-01,11378.8,316041,4.9,17.7,11653
"550",2013-04-01,11373.3,316220,5.1,17.1,11735
"551",2013-05-01,11407.1,316395,5.2,17,11671
"552",2013-06-01,11462.4,316594,5.3,16.6,11736
"553",2013-07-01,11484.7,316799,5.1,16.3,11357
"554",2013-08-01,11511.6,317019,5.3,16.8,11241
"555",2013-09-01,11559.6,317253,5.2,16.5,11251
"556",2013-10-01,11602.1,317470,4.7,16.1,11161
"557",2013-11-01,11671.5,317679,4.3,17,10814
"558",2013-12-01,11686.3,317867,4.1,17,10376
"559",2014-01-01,11663.9,318032,4.9,15.9,10280
"560",2014-02-01,11714.4,318200,5,16.2,10387
"561",2014-03-01,11807.1,318373,4.8,15.9,10384
"562",2014-04-01,11825.2,318552,5,15.6,9696
"563",2014-05-01,11864.3,318728,5.1,14.5,9761
"564",2014-06-01,11922.6,318927,5.1,13.2,9453
"565",2014-07-01,11944.4,319133,5.1,13.5,9648
"566",2014-08-01,12017,319354,4.7,13.3,9568
"567",2014-09-01,12044.6,319588,4.6,13.3,9237
"568",2014-10-01,12096.4,319804,4.6,13.5,8983
"569",2014-11-01,12142.2,320013,4.5,12.8,9071
"570",2014-12-01,12122,320201,5,12.6,8688
"571",2015-01-01,12080.8,320367,5.5,13.4,8979
"572",2015-02-01,12095.9,320534,5.7,13.1,8705
"573",2015-03-01,12161.5,320707,5.2,12.2,8575
"574",2015-04-01,12158.9,320887,5.6,11.7,8549
