"","study","time","id","calm","secure","tense","regretful","at.ease","upset","worrying","rested","anxious","comfortable","confident","nervous","jittery","high.strung","relaxed","content","worried","rattled","joyful","pleasant"
"1265","FLAT",1,162,1,2,4,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1
"1266","FLAT",1,163,3,2,2,1,2,1,1,2,2,3,3,1,1,3,2,2,1,1,2,2
"1267","FLAT",1,164,2,2,1,1,3,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2
"1268","FLAT",1,165,4,4,1,1,4,1,1,3,1,4,4,1,1,1,4,4,1,1,4,4
"1269","FLAT",1,166,4,2,1,1,4,1,1,1,1,2,1,1,1,1,3,2,1,1,1,2
"1270","FLAT",1,167,3,2,1,2,3,3,2,2,1,2,2,1,1,1,3,2,2,1,1,2
"1271","FLAT",1,168,2,3,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2
"1272","FLAT",1,169,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1
"1273","FLAT",1,170,3,3,1,1,2,1,1,2,1,3,2,1,1,1,2,2,1,1,1,2
"1274","FLAT",2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,1,1
"1275","FLAT",2,2,2,2,4,1,1,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1
"1276","FLAT",2,3,3,3,3,4,2,4,2,3,2,2,2,2,1,1,2,2,3,1,1,2
"1277","FLAT",2,4,1,1,3,2,1,4,4,1,3,1,1,3,3,4,1,1,3,2,1,1
"1278","FLAT",2,5,3,3,1,1,2,1,1,2,1,3,3,1,1,1,2,3,1,1,2,2
"1279","FLAT",2,6,4,4,1,2,2,1,1,1,2,2,2,1,1,1,4,2,1,1,2,2
"1280","FLAT",2,7,2,2,2,1,3,1,1,2,2,3,3,1,1,2,2,3,1,1,3,3
"1281","FLAT",2,8,2,4,1,1,3,1,1,3,1,3,3,1,1,1,3,4,1,1,3,4
"1282","FLAT",2,9,3,3,1,1,3,1,1,2,1,2,3,1,1,1,2,2,1,1,2,2
"1283","FLAT",2,10,3,3,2,1,3,1,1,2,2,3,3,2,2,1,3,3,1,1,2,3
"1284","FLAT",2,11,3,3,1,1,2,1,2,1,1,2,2,2,1,1,3,4,2,1,1,3
"1285","FLAT",2,12,4,4,1,1,4,1,1,3,1,3,3,1,1,1,4,4,1,1,2,3
"1286","FLAT",2,13,2,4,2,1,4,3,1,3,2,3,4,2,1,2,2,3,1,2,2,3
"1287","FLAT",2,14,2,2,3,1,2,1,1,2,3,2,3,2,3,3,2,2,1,2,2,2
"1288","FLAT",2,15,2,4,2,1,3,2,1,2,1,2,3,1,1,1,2,2,1,1,2,2
"1289","FLAT",2,16,2,2,2,1,1,1,1,1,2,2,3,2,3,2,1,1,2,1,1,1
"1290","FLAT",2,17,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2
"1291","FLAT",2,18,2,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2
"1292","FLAT",2,19,2,2,1,1,2,2,3,1,2,1,2,1,1,2,2,2,2,2,1,1
"1293","FLAT",2,20,2,1,3,4,1,4,1,1,2,1,1,2,1,1,1,1,2,1,1,1
"1294","FLAT",2,21,2,2,3,3,2,4,2,2,3,2,2,3,2,2,2,2,2,2,1,1
"1295","FLAT",2,22,2,3,2,1,2,2,1,2,2,3,3,1,2,1,3,3,2,1,2,3
"1296","FLAT",2,23,4,4,2,1,3,1,1,2,1,3,4,1,1,1,4,3,1,1,2,4
"1297","FLAT",2,24,2,3,4,1,2,2,1,2,3,1,3,1,2,1,2,2,1,1,2,2
"1298","FLAT",2,25,4,2,1,2,3,1,1,3,2,1,2,1,1,1,3,2,1,1,1,1
"1299","FLAT",2,26,3,3,1,2,3,2,2,2,1,2,2,1,1,1,3,2,1,1,1,2
"1300","FLAT",2,27,3,3,2,2,3,1,2,4,2,3,3,2,2,1,3,3,2,1,1,3
"1301","FLAT",2,28,2,3,3,1,2,1,1,2,3,3,2,2,2,1,2,2,1,1,2,2
"1302","FLAT",2,29,1,2,2,2,2,2,2,1,1,3,1,1,1,2,2,2,1,1,1,1
"1303","FLAT",2,30,2,2,2,2,2,2,3,2,2,2,3,2,2,1,2,1,2,1,1,2
"1304","FLAT",2,31,1,3,2,1,1,2,3,1,2,1,1,2,1,1,1,1,1,1,1,1
"1305","FLAT",2,32,3,3,1,3,3,3,3,2,3,3,2,1,1,2,3,2,3,1,1,2
"1306","FLAT",2,33,3,3,1,1,3,1,2,2,1,3,2,1,1,1,2,2,2,1,1,3
"1307","FLAT",2,34,2,4,3,1,2,1,3,2,3,2,3,3,1,2,2,2,1,3,2,2
"1308","FLAT",2,35,3,3,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,1,3,3
"1309","FLAT",2,36,3,3,1,1,3,1,2,2,1,2,3,1,1,1,2,2,1,1,3,3
"1310","FLAT",2,37,4,4,4,4,4,2,1,2,3,3,4,3,3,3,4,4,2,2,2,2
"1311","FLAT",2,38,2,3,3,1,2,3,3,2,2,1,3,2,2,2,2,2,2,1,1,1
"1312","FLAT",2,39,2,2,2,4,2,3,3,1,2,2,1,2,1,1,2,2,3,1,1,1
"1313","FLAT",2,40,2,1,2,2,1,3,4,1,3,1,1,2,3,1,2,1,1,1,1,1
"1314","FLAT",2,41,2,2,2,4,2,4,4,2,2,1,1,2,1,1,3,2,4,3,1,1
"1315","FLAT",2,42,3,3,2,3,3,2,3,3,1,3,3,1,1,1,3,2,1,1,2,3
"1316","FLAT",2,43,3,3,1,1,3,1,1,3,1,3,1,1,1,1,3,3,1,1,2,3
"1317","FLAT",2,44,4,4,1,2,3,2,2,2,1,4,4,2,1,1,4,4,2,1,3,4
"1318","FLAT",2,45,2,2,3,1,2,3,2,1,2,2,2,2,2,2,2,2,3,1,2,2
"1319","FLAT",2,46,2,2,1,1,3,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2
"1320","FLAT",2,47,3,3,1,1,3,1,1,2,1,3,2,1,1,1,3,2,1,1,2,3
"1321","FLAT",2,48,3,3,1,1,3,1,1,3,2,4,4,1,1,1,3,4,1,1,4,4
"1322","FLAT",2,49,3,3,1,1,3,1,1,2,1,3,4,2,1,1,4,3,1,1,2,3
"1323","FLAT",2,50,4,4,1,1,4,1,1,2,1,4,2,1,1,1,4,4,1,1,3,3
"1324","FLAT",2,51,2,2,3,1,2,3,1,2,2,2,2,2,1,1,2,1,1,1,1,1
"1325","FLAT",2,52,2,3,1,1,2,3,1,1,1,2,3,1,1,1,2,1,1,1,1,1
"1326","FLAT",2,53,1,1,4,2,1,4,2,1,3,1,2,1,1,1,1,1,3,1,1,1
"1327","FLAT",2,54,3,3,2,1,2,1,1,2,1,2,3,1,1,1,2,2,1,1,1,2
"1328","FLAT",2,55,3,3,2,1,3,2,2,3,2,3,4,2,2,2,3,4,2,2,3,3
"1329","FLAT",2,56,2,3,3,2,2,2,4,1,3,2,3,3,2,3,1,2,3,2,2,2
"1330","FLAT",2,57,2,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1
"1331","FLAT",2,58,2,2,3,2,1,2,4,1,2,2,2,1,2,1,1,1,1,2,1,1
"1332","FLAT",2,59,2,2,2,1,2,2,2,1,3,4,NA,3,2,1,3,2,1,2,2,2
"1333","FLAT",2,60,2,3,1,1,3,1,1,2,1,3,2,1,1,1,3,3,1,1,2,2
"1334","FLAT",2,61,3,4,3,2,3,1,1,2,3,1,2,1,2,3,2,2,1,2,2,2
"1335","FLAT",2,62,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3
"1336","FLAT",2,63,2,3,2,2,3,1,1,3,2,3,3,3,2,1,3,3,1,2,3,3
"1337","FLAT",2,64,2,2,1,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2
"1338","FLAT",2,65,4,4,1,1,3,1,1,3,1,3,3,1,1,1,3,4,1,1,3,3
"1339","FLAT",2,66,3,2,2,1,2,3,3,1,2,2,1,1,2,1,3,1,3,1,1,2
"1340","FLAT",2,67,2,2,2,1,2,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1
"1341","FLAT",2,68,2,2,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2
"1342","FLAT",2,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1343","FLAT",2,70,4,4,1,1,4,1,1,2,2,NA,4,2,2,2,4,4,1,1,1,4
"1344","FLAT",2,71,2,3,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2
"1345","FLAT",2,72,2,2,3,1,1,2,3,2,2,1,2,2,2,2,1,1,3,2,1,2
"1346","FLAT",2,73,4,4,1,1,4,1,1,3,1,2,4,1,1,1,4,4,1,1,4,3
"1347","FLAT",2,74,2,1,3,3,1,3,1,1,2,1,2,2,1,1,2,1,2,1,1,1
"1348","FLAT",2,75,2,2,2,1,3,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2
"1349","FLAT",2,76,3,3,1,1,3,1,1,2,1,3,3,1,2,1,3,3,1,2,2,3
"1350","FLAT",2,77,1,2,3,2,2,3,1,2,2,1,1,1,1,1,2,1,1,1,1,2
"1351","FLAT",2,78,3,3,1,1,3,2,2,1,1,3,3,1,1,1,2,1,2,1,1,1
"1352","FLAT",2,79,2,4,1,1,3,1,1,2,1,2,4,1,1,1,3,4,1,1,4,4
"1353","FLAT",2,80,1,2,4,2,2,3,3,2,4,2,2,3,3,3,1,2,3,3,1,1
"1354","FLAT",2,81,2,2,1,1,3,1,2,1,1,2,3,1,1,1,2,3,1,1,1,2
"1355","FLAT",2,82,2,4,3,1,2,2,1,1,2,3,3,3,3,3,2,2,1,3,1,3
"1356","FLAT",2,83,3,4,2,1,3,1,1,3,2,3,4,2,1,1,3,3,1,1,3,3
"1357","FLAT",2,84,1,3,2,1,2,2,1,2,1,3,1,1,1,1,1,1,3,1,1,1
"1358","FLAT",2,85,2,2,2,1,2,3,3,1,2,2,2,2,1,1,2,1,3,1,1,1
"1359","FLAT",2,86,3,2,1,2,3,1,1,1,3,2,4,2,2,1,3,2,1,2,2,2
"1360","FLAT",2,87,2,3,3,1,2,3,3,2,1,2,3,1,2,1,NA,2,2,1,1,2
"1361","FLAT",2,88,2,2,2,3,2,2,2,2,3,2,2,3,2,1,2,2,3,1,1,2
"1362","FLAT",2,89,3,3,1,1,3,1,1,1,1,2,1,1,1,1,2,3,2,1,1,2
"1363","FLAT",2,90,3,3,1,1,3,1,1,2,1,4,3,2,1,1,3,3,1,1,3,3
"1364","FLAT",2,91,2,3,2,1,2,2,1,2,2,2,3,2,1,1,2,2,1,1,1,2
"1365","FLAT",2,92,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
"1366","FLAT",2,93,1,2,4,1,1,2,4,1,4,2,3,4,4,4,1,2,3,4,2,2
"1367","FLAT",2,94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1368","FLAT",2,95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1369","FLAT",2,96,4,4,1,1,4,1,3,4,1,4,4,1,1,2,4,4,1,2,4,4
"1370","FLAT",2,97,4,4,1,1,4,1,1,3,1,3,4,1,1,1,4,4,1,1,4,4
"1371","FLAT",2,98,4,4,1,1,4,1,1,3,1,3,4,1,1,1,3,3,1,1,2,3
"1372","FLAT",2,99,3,3,2,1,3,1,1,2,2,4,2,2,2,1,3,3,1,1,3,4
"1373","FLAT",2,100,2,1,3,2,1,1,2,2,2,2,3,2,1,2,2,1,2,1,1,3
"1374","FLAT",2,101,2,2,2,2,2,2,1,2,1,2,2,2,1,2,3,3,2,1,2,2
"1375","FLAT",2,102,2,3,2,1,3,1,1,2,3,2,3,1,1,1,2,2,1,1,2,3
"1376","FLAT",2,103,2,4,1,1,4,1,1,3,1,4,4,1,1,1,4,4,1,2,4,4
"1377","FLAT",2,104,3,3,1,1,3,1,1,2,1,2,2,1,1,1,3,2,1,1,1,2
"1378","FLAT",2,105,2,2,2,2,2,2,1,1,1,2,3,2,1,1,3,2,2,1,1,2
"1379","FLAT",2,106,4,4,3,2,4,2,4,1,3,3,4,2,2,3,3,3,3,3,3,4
"1380","FLAT",2,107,2,4,1,1,3,1,1,3,2,3,3,1,2,1,3,3,2,1,2,3
"1381","FLAT",2,108,3,3,1,1,3,1,1,3,1,3,2,1,1,1,3,3,1,1,2,3
"1382","FLAT",2,109,4,2,2,2,3,2,3,3,2,3,1,2,2,2,4,2,4,2,3,2
"1383","FLAT",2,110,3,3,1,2,4,2,2,1,1,4,3,1,1,1,3,4,1,1,3,2
"1384","FLAT",2,111,2,2,2,1,3,1,1,2,1,2,2,1,3,3,2,1,1,2,1,1
"1385","FLAT",2,112,4,4,2,1,4,2,1,4,2,4,4,1,1,1,4,4,1,1,4,4
"1386","FLAT",2,113,4,3,1,2,4,1,1,4,2,3,4,1,1,2,3,1,3,1,1,3
"1387","FLAT",2,114,4,3,1,1,3,1,1,3,2,3,4,1,3,1,3,3,1,1,3,3
"1388","FLAT",2,115,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4
"1389","FLAT",2,116,3,3,3,2,2,2,3,1,3,3,4,1,2,3,2,2,2,2,2,2
"1390","FLAT",2,117,4,3,1,1,4,1,1,2,1,3,1,1,1,1,2,2,1,1,1,2
"1391","FLAT",2,118,2,2,2,1,3,3,2,2,1,3,4,1,1,3,2,1,2,1,1,1
"1392","FLAT",2,119,2,2,NA,1,3,1,1,2,3,3,2,1,2,1,3,3,1,1,3,3
"1393","FLAT",2,120,3,2,1,1,3,1,1,2,2,2,2,2,1,1,2,2,1,1,2,2
"1394","FLAT",2,121,4,4,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,2,3
"1395","FLAT",2,122,3,3,1,3,3,3,2,1,2,3,4,1,1,1,3,3,1,1,1,2
"1396","FLAT",2,123,3,3,1,1,3,1,1,3,1,3,3,1,1,2,3,3,1,1,3,3
"1397","FLAT",2,124,3,3,2,1,2,1,1,2,1,2,2,1,1,1,2,3,1,1,3,2
"1398","FLAT",2,125,2,2,3,2,2,3,1,2,1,2,2,1,2,1,2,1,1,1,1,2
"1399","FLAT",2,126,1,1,3,2,1,4,1,1,2,2,1,3,2,2,1,1,3,2,1,1
"1400","FLAT",2,127,3,3,2,1,2,2,1,1,2,2,3,1,1,1,3,3,1,1,2,2
"1401","FLAT",2,128,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,1,2
"1402","FLAT",2,129,1,1,2,3,1,4,3,1,2,1,1,4,1,1,1,1,1,1,1,1
"1403","FLAT",2,130,3,2,1,2,3,1,2,2,2,3,2,1,1,1,3,2,3,1,1,2
"1404","FLAT",2,131,2,2,NA,1,1,2,2,1,2,1,2,3,3,3,2,2,3,2,2,2
"1405","FLAT",2,132,2,3,1,2,3,4,1,2,2,2,3,2,1,3,2,3,1,2,2,2
"1406","FLAT",2,133,2,2,3,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1
"1407","FLAT",2,134,2,1,3,4,1,4,4,2,1,1,2,2,3,2,1,1,3,2,1,1
"1408","FLAT",2,135,2,2,2,1,2,1,2,2,2,3,4,3,2,2,2,3,2,1,2,2
"1409","FLAT",2,136,4,4,1,2,4,1,2,3,2,4,4,1,2,1,4,4,1,1,4,4
"1410","FLAT",2,137,3,3,2,1,3,1,2,2,2,3,3,2,1,1,3,3,1,1,2,3
"1411","FLAT",2,138,1,2,2,4,2,4,1,2,2,2,2,2,2,2,2,2,2,2,1,1
"1412","FLAT",2,139,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1
"1413","FLAT",2,140,2,1,2,1,1,1,3,1,1,2,1,1,1,1,2,1,2,1,1,1
"1414","FLAT",2,141,2,2,3,1,2,1,2,2,3,2,3,3,3,2,1,2,3,2,2,2
"1415","FLAT",2,142,3,3,1,1,3,1,1,3,1,3,4,1,1,1,3,3,1,1,3,3
"1416","FLAT",2,143,3,2,2,1,1,3,3,1,2,2,2,3,1,2,2,2,3,1,1,1
"1417","FLAT",2,144,2,2,1,1,3,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2
"1418","FLAT",2,145,2,2,4,1,1,3,1,1,2,1,3,2,2,2,1,1,2,2,1,1
"1419","FLAT",2,146,1,3,4,3,1,4,1,2,4,1,3,2,4,4,1,1,1,4,1,1
"1420","FLAT",2,147,2,3,2,1,3,1,1,2,1,2,3,1,1,1,3,3,1,1,2,2
"1421","FLAT",2,148,3,3,3,2,3,1,2,1,2,1,1,2,2,1,2,1,2,2,1,1
"1422","FLAT",2,149,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4
"1423","FLAT",2,150,2,2,2,3,3,3,2,1,1,3,NA,1,3,3,1,2,NA,NA,1,2
"1424","FLAT",2,151,3,3,1,1,2,1,1,1,1,2,3,1,1,1,2,2,1,1,2,2
"1425","FLAT",2,152,2,2,3,2,2,4,3,2,1,2,2,1,1,1,2,1,2,1,1,1
"1426","FLAT",2,153,3,2,2,1,2,1,3,1,2,2,2,1,2,1,3,2,1,1,1,2
"1427","FLAT",2,154,1,1,3,3,1,4,1,1,2,2,1,3,1,1,1,1,3,1,1,1
"1428","FLAT",2,155,2,2,3,1,2,4,2,2,2,2,3,2,1,2,1,1,1,1,1,1
"1429","FLAT",2,156,2,3,1,1,2,1,1,2,1,3,3,1,1,1,2,3,1,1,1,2
"1430","FLAT",2,157,3,3,1,1,2,1,1,2,1,3,4,1,1,1,2,3,1,1,2,3
"1431","FLAT",2,158,4,4,1,1,4,2,1,2,1,3,3,1,2,1,3,2,1,1,2,3
"1432","FLAT",2,159,3,2,1,1,4,1,1,3,1,3,1,1,1,1,3,2,1,1,1,1
"1433","FLAT",2,160,3,3,1,1,3,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2
"1434","FLAT",2,161,4,4,1,1,4,1,1,3,1,4,4,1,1,1,4,4,1,3,3,4
"1435","FLAT",2,162,4,4,1,1,3,1,1,3,1,4,4,1,1,1,3,3,1,1,3,4
"1436","FLAT",2,163,2,2,2,1,2,1,1,2,2,3,3,1,2,2,3,3,2,1,2,3
"1437","FLAT",2,164,4,3,1,1,4,1,1,2,1,2,3,1,1,1,3,3,1,1,2,3
"1438","FLAT",2,165,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4
"1439","FLAT",2,166,3,1,1,2,2,2,1,1,2,2,1,1,1,1,3,2,1,1,1,1
"1440","FLAT",2,167,2,2,1,1,2,2,2,2,1,3,2,1,1,1,2,2,2,1,1,2
"1441","FLAT",2,168,2,2,1,1,3,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2
"1442","FLAT",2,169,2,2,1,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,1
"1443","FLAT",2,170,3,3,1,1,3,1,1,3,1,3,2,1,1,1,3,3,2,2,2,2
"1444","FLAT",3,1,2,2,2,1,2,2,2,1,3,2,2,1,1,1,2,1,3,1,1,1
"1445","FLAT",3,2,2,2,4,1,1,3,2,1,3,1,1,2,1,3,1,1,3,1,1,1
"1446","FLAT",3,3,3,3,1,2,3,3,1,2,2,3,3,2,1,1,3,3,2,1,3,3
"1447","FLAT",3,4,3,2,1,1,3,1,2,2,1,2,2,1,2,1,3,2,2,1,1,2
"1448","FLAT",3,5,3,3,1,2,3,1,1,1,1,2,3,1,1,1,1,3,1,1,2,2
"1449","FLAT",3,6,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,1,2
"1450","FLAT",3,7,3,2,1,1,2,1,1,2,1,3,3,1,1,1,3,3,1,1,2,3
"1451","FLAT",3,8,2,4,1,1,2,1,1,3,1,3,3,1,1,1,2,3,1,1,2,3
"1452","FLAT",3,9,3,2,1,1,3,1,1,2,1,2,3,1,1,1,2,2,1,1,2,2
"1453","FLAT",3,10,1,2,3,1,1,2,1,1,3,1,2,3,3,3,1,1,3,3,1,1
"1454","FLAT",3,11,4,3,1,1,3,1,1,2,1,2,2,1,1,1,3,3,1,1,1,3
"1455","FLAT",3,12,4,4,1,1,4,1,1,3,1,3,3,1,1,1,3,3,1,1,3,3
"1456","FLAT",3,13,2,4,3,1,2,3,1,3,3,2,4,2,2,2,1,3,2,1,2,2
"1457","FLAT",3,14,2,3,3,1,2,1,1,2,3,2,3,2,2,3,2,3,2,2,2,2
"1458","FLAT",3,15,2,4,2,1,2,1,1,2,2,2,2,1,3,1,2,1,1,1,1,2
"1459","FLAT",3,16,1,1,2,1,1,3,1,1,3,1,3,1,1,3,1,1,1,1,1,1
"1460","FLAT",3,17,2,2,1,1,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,3
"1461","FLAT",3,18,2,2,2,1,1,3,3,2,2,2,1,1,1,1,2,1,1,1,1,1
"1462","FLAT",3,19,1,2,3,2,1,2,3,1,3,2,2,2,1,1,1,2,2,2,1,2
"1463","FLAT",3,20,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1
"1464","FLAT",3,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1465","FLAT",3,22,4,3,1,1,4,1,1,2,1,3,3,1,1,1,3,3,1,1,2,3
"1466","FLAT",3,23,4,4,2,1,2,1,1,2,1,3,4,1,1,1,3,3,1,1,2,4
"1467","FLAT",3,24,2,2,4,1,2,3,1,2,4,2,2,1,1,1,2,2,2,1,1,2
"1468","FLAT",3,25,1,3,2,1,4,1,1,2,3,1,3,2,2,2,1,4,1,1,2,2
"1469","FLAT",3,26,1,2,2,2,1,2,1,1,3,2,3,2,3,3,1,1,1,2,2,2
"1470","FLAT",3,27,3,3,2,2,3,1,2,4,2,3,3,2,2,2,3,3,2,1,2,3
"1471","FLAT",3,28,3,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2
"1472","FLAT",3,29,1,1,3,2,1,3,2,1,2,1,1,1,1,3,1,1,2,1,1,1
"1473","FLAT",3,30,2,2,2,2,2,3,3,1,2,1,3,2,1,1,2,1,3,1,1,1
"1474","FLAT",3,31,3,3,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1
"1475","FLAT",3,32,3,3,1,1,3,1,3,2,3,3,3,2,1,1,3,3,2,1,2,2
"1476","FLAT",3,33,3,3,2,1,2,1,4,3,3,3,2,1,1,1,2,1,1,1,1,2
"1477","FLAT",3,34,2,3,3,1,1,2,3,2,3,2,3,2,1,2,2,2,1,1,1,1
"1478","FLAT",3,35,3,3,1,3,1,1,3,1,3,3,1,1,1,3,3,NA,1,1,3,3
"1479","FLAT",3,36,2,2,2,2,2,1,1,1,3,2,2,1,2,1,2,1,1,1,1,1
"1480","FLAT",3,37,2,3,4,3,2,4,1,2,4,2,4,4,4,4,2,4,2,4,2,4
"1481","FLAT",3,38,2,3,3,1,2,3,3,1,3,1,3,2,2,2,1,2,2,1,1,1
"1482","FLAT",3,39,3,2,1,1,3,2,2,1,1,2,1,1,2,1,3,2,2,1,1,2
"1483","FLAT",3,40,2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1
"1484","FLAT",3,41,2,3,3,2,3,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2
"1485","FLAT",3,42,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,2,3,3,3
"1486","FLAT",3,43,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2
"1487","FLAT",3,44,4,4,3,2,4,2,2,2,1,4,4,1,1,1,3,4,2,1,3,4
"1488","FLAT",3,45,2,2,3,2,2,3,3,1,3,2,2,1,2,1,2,2,3,2,2,2
"1489","FLAT",3,46,2,2,2,1,3,1,2,2,1,3,2,1,1,2,1,2,3,1,1,1
"1490","FLAT",3,47,3,2,1,1,3,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1
"1491","FLAT",3,48,3,3,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,3,3
"1492","FLAT",3,49,3,3,1,1,3,1,1,2,1,3,3,2,1,1,3,3,1,1,2,3
"1493","FLAT",3,50,3,2,1,1,2,1,1,2,1,2,3,1,1,1,4,3,1,1,2,2
"1494","FLAT",3,51,2,3,2,1,2,2,1,2,1,2,2,1,1,1,2,2,1,1,1,2
"1495","FLAT",3,52,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1
"1496","FLAT",3,53,2,2,3,1,1,2,1,1,2,2,3,2,1,1,2,1,3,1,1,2
"1497","FLAT",3,54,3,3,1,1,3,1,1,2,1,2,3,1,1,1,2,2,1,1,1,2
"1498","FLAT",3,55,3,4,2,1,3,2,1,2,2,3,4,2,1,2,3,4,2,1,3,3
"1499","FLAT",3,56,2,2,3,2,2,2,4,1,4,2,2,4,3,4,1,2,3,3,2,2
"1500","FLAT",3,57,2,2,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,1,2,2
"1501","FLAT",3,58,2,2,3,3,2,3,4,1,2,2,2,2,2,2,2,3,3,2,1,1
"1502","FLAT",3,59,3,3,1,1,3,1,2,NA,2,3,1,1,1,3,3,2,1,1,2,3
"1503","FLAT",3,60,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1
"1504","FLAT",3,61,2,2,3,1,2,1,1,2,4,2,2,1,3,3,2,2,1,3,2,2
"1505","FLAT",3,62,3,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3
"1506","FLAT",3,63,1,1,4,4,1,4,1,2,4,2,2,4,4,1,1,1,3,4,2,2
"1507","FLAT",3,64,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"1508","FLAT",3,65,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,2,2
"1509","FLAT",3,66,3,2,2,1,3,3,3,1,2,3,2,1,1,2,3,2,3,1,1,2
"1510","FLAT",3,67,2,2,3,1,2,2,2,1,3,2,1,1,3,2,2,1,1,1,1,1
"1511","FLAT",3,68,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2
"1512","FLAT",3,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1513","FLAT",3,70,4,4,1,1,3,1,1,3,2,3,4,1,1,1,3,4,1,1,1,3
"1514","FLAT",3,71,2,3,1,1,2,1,1,2,1,2,3,1,1,1,2,2,1,1,1,2
"1515","FLAT",3,72,2,2,3,1,1,2,3,2,2,1,2,2,2,2,1,2,3,2,1,2
"1516","FLAT",3,73,2,3,2,1,3,1,1,2,2,2,4,2,1,1,3,2,1,1,2,2
"1517","FLAT",3,74,2,1,2,2,1,2,1,1,2,1,2,2,1,1,2,1,2,1,1,1
"1518","FLAT",3,75,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2
"1519","FLAT",3,76,3,3,1,1,3,1,1,3,2,3,3,1,2,1,3,3,1,2,3,3
"1520","FLAT",3,77,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,1,2
"1521","FLAT",3,78,3,3,1,1,3,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1
"1522","FLAT",3,79,4,4,2,1,4,1,1,3,1,2,4,1,1,1,3,3,1,1,3,3
"1523","FLAT",3,80,1,2,3,2,1,2,4,2,4,2,2,3,3,2,2,2,3,2,1,2
"1524","FLAT",3,81,3,3,1,1,2,1,1,1,1,2,3,1,1,1,2,3,1,1,1,2
"1525","FLAT",3,82,3,4,2,1,3,1,1,3,2,3,3,2,2,2,3,3,1,2,1,3
"1526","FLAT",3,83,3,4,2,1,3,1,1,3,1,3,4,2,1,1,3,3,1,1,3,3
