"","study","time","id","pleasant","nervous","not.satisfied","wish.happy","failure","rested","calm","difficulties","worry","happy","disturbing.thoughts","lack.self.confidence","secure","decisive","inadequate","content","thoughts.bother","disappointments","steady","tension"
"771","FLAT","1",153,4,2,2,2,1,2,3,2,2,3,3,1,3,3,2,3,2,2,3,3
"772","FLAT","1",154,3,3,2,4,3,1,3,1,4,2,3,1,3,1,3,1,4,2,3,3
"773","FLAT","1",155,3,2,2,1,1,2,2,1,2,3,2,1,3,1,2,3,2,1,3,1
"774","FLAT","1",156,2,1,1,2,1,3,3,2,2,3,2,1,3,2,2,3,1,1,3,2
"775","FLAT","1",157,4,1,1,1,2,3,3,1,2,3,1,1,3,2,1,3,2,2,3,1
"776","FLAT","1",158,3,2,2,1,2,3,4,3,2,3,4,1,3,1,2,3,2,2,4,2
"777","FLAT","1",159,3,2,2,1,1,2,2,2,1,2,2,1,3,2,2,3,2,2,2,2
"778","FLAT","1",160,3,2,1,1,1,2,3,1,3,3,2,1,3,2,2,3,1,2,2,2
"779","FLAT","1",161,4,1,1,2,1,3,4,2,1,4,3,1,4,4,1,4,2,1,4,2
"780","FLAT","1",162,4,1,2,1,2,4,3,2,2,4,2,1,3,3,1,4,1,2,4,2
"781","FLAT","1",163,3,2,1,2,1,2,3,1,2,3,1,1,2,1,1,3,2,1,3,1
"782","FLAT","1",164,3,1,1,1,1,2,4,1,1,2,1,2,2,2,1,3,1,1,4,1
"783","FLAT","1",165,3,1,1,1,1,3,3,1,1,3,1,1,3,1,1,3,1,1,3,1
"784","FLAT","1",166,2,3,3,4,1,1,2,2,1,1,4,4,1,2,3,2,2,2,1,3
"785","FLAT","1",167,3,2,1,2,2,2,3,2,2,3,1,1,3,2,2,3,2,1,3,2
"786","FLAT","1",168,3,2,2,4,4,2,1,2,3,2,3,2,3,2,3,3,4,4,1,3
"787","FLAT","1",169,3,2,2,3,1,2,4,2,2,2,2,1,3,2,2,2,2,1,3,1
"788","FLAT","1",170,3,2,2,2,1,2,2,1,1,3,2,2,3,1,2,3,1,2,4,1
"789","GRAY","1",1,4,2,2,1,1,3,3,2,1,4,2,1,4,2,1,4,1,1,4,2
"790","GRAY","1",NA,3,3,1,3,2,2,4,2,1,3,3,2,3,2,2,2,1,1,3,1
"791","GRAY","1",2,3,3,1,3,3,2,2,3,3,3,2,2,3,4,2,2,2,2,2,3
"792","GRAY","1",NA,4,2,1,1,1,2,2,1,2,4,2,1,4,1,1,3,2,2,4,3
"793","GRAY","1",3,4,2,1,1,1,3,4,1,1,4,2,1,4,2,1,4,1,2,4,1
"794","GRAY","1",NA,3,2,1,2,2,3,3,1,1,3,1,1,3,2,2,3,2,1,3,2
"795","GRAY","1",4,4,2,3,1,1,4,3,1,2,4,2,1,3,1,1,3,1,1,4,1
"796","GRAY","1",NA,2,2,2,2,2,3,3,2,2,3,2,3,2,2,2,2,1,1,3,2
"797","GRAY","1",5,3,2,2,2,1,3,3,1,1,3,2,2,3,2,2,3,1,1,3,1
"798","GRAY","1",NA,3,3,2,2,1,2,4,1,2,3,2,1,3,2,2,3,2,1,4,2
"799","GRAY","1",6,3,1,1,2,1,2,3,1,2,3,2,1,4,2,2,3,2,1,4,1
"800","GRAY","1",NA,4,3,2,1,2,2,3,1,1,3,2,3,4,2,2,3,1,1,4,2
"801","GRAY","1",7,3,1,2,2,2,3,3,1,1,3,1,1,3,2,1,3,1,1,3,1
"802","GRAY","1",8,3,1,1,2,2,3,3,1,1,3,1,1,4,2,2,3,2,1,3,2
"803","GRAY","1",9,2,2,1,3,2,2,3,2,2,3,2,2,2,2,3,3,1,2,3,1
"804","GRAY","1",10,3,2,1,1,2,2,3,3,2,4,2,2,3,2,1,3,2,1,3,2
"805","GRAY","1",11,4,2,1,1,2,2,3,1,1,4,2,2,4,1,2,4,1,1,4,1
"806","GRAY","1",12,3,2,2,2,1,1,3,2,2,3,3,3,3,4,2,3,2,2,3,2
"807","GRAY","1",13,2,4,2,4,4,1,2,3,3,2,3,4,1,3,3,2,2,3,2,4
"808","GRAY","1",14,3,2,1,2,1,2,3,1,2,2,2,1,3,2,2,2,2,2,2,2
"809","GRAY","1",15,4,2,2,1,1,2,3,3,1,4,3,2,3,3,1,4,1,4,4,4
"810","GRAY","1",16,3,2,2,1,1,3,4,1,1,4,2,1,4,4,2,4,1,1,4,1
"811","GRAY","1",17,3,2,1,2,2,3,3,1,2,3,1,1,3,1,1,3,1,1,3,2
"812","GRAY","1",18,4,2,2,2,1,3,3,2,2,4,2,2,3,2,1,4,1,2,3,1
"813","GRAY","1",19,2,2,2,4,2,2,2,2,3,2,4,3,2,2,2,2,2,3,2,2
"814","GRAY","1",20,3,3,2,3,3,2,2,3,3,3,3,3,2,3,2,3,3,3,2,3
"815","GRAY","1",21,3,4,2,3,2,2,3,3,3,3,3,2,2,3,1,3,3,2,2,3
"816","GRAY","1",22,4,2,2,1,1,2,2,2,2,3,4,2,2,3,2,4,2,2,2,2
"817","GRAY","1",23,4,1,1,1,1,3,4,1,2,4,1,1,4,1,1,3,2,1,4,1
"818","GRAY","1",24,3,1,1,2,2,3,2,1,1,3,2,2,3,2,1,3,1,1,3,2
"819","GRAY","1",25,3,1,1,1,1,2,2,1,3,4,2,2,4,1,1,4,1,2,4,1
"820","GRAY","1",26,4,2,2,2,3,2,1,1,2,3,2,2,3,4,2,4,2,2,3,3
"821","GRAY","1",27,3,2,2,2,1,2,3,2,2,3,2,2,3,2,2,3,2,3,3,3
"822","GRAY","1",28,3,2,1,2,2,2,2,2,2,3,2,2,3,4,2,4,2,2,4,1
"823","GRAY","1",29,3,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,3,2
"824","GRAY","1",30,4,1,2,2,1,4,4,2,1,4,2,1,4,2,2,3,2,1,4,1
"825","GRAY","1",31,4,3,1,1,1,2,3,1,2,3,2,1,3,2,2,3,2,2,3,2
"826","GRAY","1",32,3,2,2,1,1,2,2,2,2,3,2,1,2,1,2,2,2,2,2,2
"827","GRAY","1",33,3,2,1,2,1,3,3,2,2,4,2,2,4,4,2,4,2,1,3,1
"828","GRAY","1",34,3,2,1,1,2,3,2,2,2,3,2,2,3,3,1,3,1,2,3,1
"829","GRAY","1",35,4,2,2,2,2,2,3,2,2,3,2,2,3,3,2,4,2,2,3,2
"830","GRAY","1",37,3,3,2,3,1,2,3,1,4,3,4,2,2,4,2,3,4,4,3,4
"831","GRAY","1",38,3,2,2,2,2,2,3,2,2,4,2,1,3,2,2,4,2,2,4,3
"832","GRAY","1",39,3,2,2,2,1,2,2,1,1,3,2,1,4,2,2,3,2,2,2,2
"833","GRAY","1",40,3,1,1,2,1,3,2,1,1,3,1,2,3,2,2,3,1,1,4,2
"834","GRAY","1",41,2,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1
"835","GRAY","1",42,3,3,1,1,1,2,2,2,2,3,1,1,3,2,1,2,1,1,3,2
"836","GRAY","1",43,4,2,1,2,1,2,3,1,1,4,3,1,4,2,1,3,2,2,3,2
"837","GRAY","1",44,3,2,2,2,1,2,3,2,1,3,1,1,4,3,2,4,2,1,4,2
"838","GRAY","1",45,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"839","GRAY","1",46,3,2,1,1,1,2,4,2,1,3,1,1,3,2,2,3,1,1,4,2
"840","GRAY","1",47,3,4,1,1,1,1,3,1,1,4,2,1,4,2,1,4,2,1,4,2
"841","GRAY","1",49,3,2,2,2,1,2,2,1,2,3,2,2,2,2,2,3,2,1,3,1
"842","GRAY","1",51,3,1,1,1,1,3,4,2,1,4,2,1,4,2,1,4,1,1,3,1
"843","GRAY","1",52,2,2,2,1,1,3,1,2,2,1,2,1,4,2,1,1,2,1,1,2
"844","GRAY","1",53,4,1,1,2,1,3,4,1,1,4,1,1,4,3,1,2,2,1,4,2
"845","GRAY","1",54,3,2,1,1,1,3,2,1,2,4,1,1,3,2,2,3,2,2,4,2
"846","GRAY","1",55,3,2,1,1,1,3,4,1,1,3,1,1,4,1,1,3,1,1,4,1
"847","GRAY","1",56,3,4,2,2,2,1,3,3,2,4,3,2,3,4,2,4,2,1,4,1
"848","GRAY","1",57,1,3,2,4,2,1,2,3,4,2,4,4,2,3,3,2,2,3,2,2
"849","GRAY","1",58,4,2,1,1,1,4,4,1,1,4,1,1,4,3,1,4,2,1,4,1
"850","GRAY","1",60,3,3,2,1,2,2,4,2,1,3,2,1,3,4,2,4,1,2,3,1
"851","GRAY","1",61,3,2,2,1,1,2,3,1,3,4,2,2,3,3,2,4,2,1,3,1
"852","GRAY","1",62,3,2,2,1,2,3,3,1,2,3,1,2,2,2,2,3,2,1,3,2
"853","GRAY","1",63,3,2,1,1,1,2,3,2,1,3,1,1,3,2,2,3,1,2,3,1
"854","GRAY","1",64,4,2,1,2,1,3,4,1,1,4,2,2,4,4,2,4,2,1,4,2
"855","GRAY","1",65,2,4,2,2,1,1,2,2,2,2,3,2,2,2,3,2,2,2,2,3
"856","GRAY","1",66,3,2,2,1,1,2,3,1,2,3,2,1,2,2,2,3,2,1,3,1
"857","GRAY","1",67,2,2,2,3,2,3,3,2,2,3,3,4,2,2,3,3,2,2,2,3
"858","GRAY","1",68,3,1,1,3,2,2,3,1,1,3,1,2,3,3,2,3,3,2,4,3
"859","GRAY","1",69,3,2,1,2,2,3,4,2,2,3,2,2,3,4,1,3,2,3,3,2
"860","GRAY","1",70,2,2,1,3,2,2,4,2,4,2,2,3,2,2,2,3,2,4,1,2
"861","GRAY","1",71,3,2,2,2,1,3,2,2,3,4,2,1,4,4,1,4,3,2,3,2
"862","GRAY","1",72,3,1,1,2,3,2,3,1,1,3,2,2,3,2,1,3,2,2,3,3
"863","GRAY","1",73,4,2,1,1,1,3,4,2,2,3,3,1,4,1,2,3,2,3,4,2
"864","GRAY","1",74,3,1,2,1,2,3,3,2,3,3,3,2,3,3,2,3,3,4,3,2
"865","GRAY","1",75,3,1,2,1,1,3,3,1,2,3,3,2,3,2,2,3,2,2,3,2
"866","GRAY","1",76,3,2,2,2,1,2,3,1,2,3,1,1,3,3,2,3,1,1,3,1
"867","GRAY","1",77,3,1,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2
"868","GRAY","1",78,3,2,2,2,1,2,3,2,2,3,2,2,3,2,2,3,2,2,3,1
"869","GRAY","1",79,4,2,1,2,1,3,4,1,2,4,2,2,4,2,2,4,2,1,4,1
"870","GRAY","1",80,4,1,1,3,2,4,3,2,3,3,3,4,2,4,2,4,2,3,4,4
"871","GRAY","1",81,4,2,1,2,1,3,4,2,2,3,2,1,4,1,1,3,2,2,4,2
"872","GRAY","1",82,3,2,2,2,2,3,2,2,2,3,3,1,3,2,2,3,2,2,3,2
"873","GRAY","1",83,3,2,2,2,1,3,2,1,2,4,2,1,3,4,1,3,1,1,2,1
"874","GRAY","1",84,3,2,2,2,2,3,2,2,3,3,3,4,2,3,2,2,3,2,2,1
"875","GRAY","1",85,4,2,2,1,1,3,4,2,1,4,1,1,4,2,1,1,1,1,4,1
"876","GRAY","1",86,2,2,2,2,1,3,4,2,1,3,4,3,2,1,1,2,3,3,4,2
"877","GRAY","1",87,4,2,1,1,1,2,3,2,2,3,1,1,4,2,2,3,2,2,4,1
"878","GRAY","1",89,4,1,2,1,2,4,3,2,2,4,2,1,4,2,1,4,1,2,4,2
"879","GRAY","1",90,2,3,2,3,1,2,2,2,2,2,3,2,3,2,3,2,3,3,2,3
"880","GRAY","1",91,3,2,1,1,1,3,2,2,3,3,4,2,2,2,2,3,3,3,4,2
"881","GRAY","1",92,3,2,2,2,3,2,2,2,2,3,3,1,3,3,2,3,2,2,3,2
"882","GRAY","1",93,2,2,2,1,1,2,2,1,2,2,1,1,2,3,1,2,2,1,2,1
"883","GRAY","1",94,4,1,1,1,1,3,4,1,1,4,1,2,4,2,1,4,1,1,4,1
"884","GRAY","1",95,4,2,2,1,1,3,4,1,1,4,1,1,4,2,1,4,1,1,4,1
"885","GRAY","1",96,3,3,2,1,1,1,3,3,2,3,2,4,3,2,2,3,3,1,4,4
"886","GRAY","1",97,3,2,1,3,2,4,3,2,2,1,2,2,2,3,2,3,1,1,3,2
"887","GRAY","1",98,2,3,3,4,3,2,2,4,2,2,1,2,2,2,2,2,3,2,2,4
"888","GRAY","1",99,3,1,1,2,2,3,3,2,2,3,2,2,3,2,1,3,2,1,3,2
"889","GRAY","1",100,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,2,3,3,2
"890","GRAY","1",101,4,1,1,1,1,4,3,1,2,4,1,2,3,2,1,4,2,1,4,1
"891","GRAY","1",102,3,2,2,2,1,1,3,2,2,4,3,2,3,3,1,3,3,2,4,2
"892","GRAY","1",103,3,2,1,1,1,2,3,3,2,4,2,1,4,3,2,3,2,2,3,3
"893","GRAY","1",104,4,2,2,1,1,2,3,1,1,4,2,1,3,1,1,4,2,2,4,2
"894","GRAY","1",105,3,2,1,1,1,2,4,1,1,3,1,1,3,3,1,3,1,1,3,2
"895","GRAY","1",106,4,2,1,1,1,3,3,1,2,4,2,1,3,1,1,4,2,2,4,2
"896","HOME","1",1,3,1,2,2,1,2,3,2,2,2,3,1,3,1,2,2,2,1,3,2
"897","HOME","1",2,3,2,1,2,3,3,3,2,3,3,3,1,3,3,1,3,2,2,3,2
"898","HOME","1",3,3,1,2,1,1,2,3,2,2,3,3,1,2,3,1,2,2,3,3,3
"899","HOME","1",4,3,2,1,1,1,3,3,2,2,4,1,1,4,2,2,4,2,2,3,2
"900","HOME","1",5,3,2,2,2,1,3,3,2,2,4,2,2,4,3,2,4,2,2,4,2
"901","HOME","1",6,4,3,1,1,2,1,3,2,2,4,3,2,2,3,1,2,2,1,3,1
"902","HOME","1",7,3,2,1,2,2,2,2,2,1,3,1,2,3,2,1,3,2,1,3,1
"903","HOME","1",8,3,3,1,1,1,2,3,2,2,3,2,1,3,2,1,3,2,2,3,2
"904","HOME","1",9,3,2,1,2,2,2,3,3,3,3,3,2,2,2,2,3,1,2,2,1
"905","HOME","1",10,2,2,2,3,1,2,2,3,3,2,3,3,3,3,2,2,2,1,3,1
"906","HOME","1",11,3,3,2,4,1,2,3,3,2,3,3,4,3,3,3,3,2,3,3,3
"907","HOME","1",12,4,1,1,3,1,3,4,1,1,4,2,1,4,2,1,4,1,1,4,1
"908","HOME","1",13,4,1,2,1,1,2,4,2,2,4,2,2,4,3,1,4,2,2,4,1
"909","HOME","1",14,3,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,3,2,3,2
"910","HOME","1",15,3,1,2,1,1,3,3,2,2,4,3,2,3,2,2,3,2,3,3,3
"911","HOME","1",16,3,2,1,2,1,3,3,2,3,4,2,2,3,3,1,4,2,2,4,1
"912","HOME","1",17,3,2,1,2,2,3,3,2,2,3,2,1,4,4,2,3,2,2,3,2
"913","HOME","1",18,4,2,1,2,2,2,2,1,1,3,1,3,1,2,1,3,1,1,3,2
"914","HOME","1",19,2,3,2,4,2,2,2,3,3,2,4,3,2,2,3,2,2,3,2,2
"915","HOME","1",20,3,2,2,3,2,3,2,2,2,3,4,3,2,2,3,2,2,3,2,2
"916","HOME","1",21,3,1,2,1,1,1,3,1,2,3,2,2,3,3,1,3,1,1,3,2
"917","HOME","1",22,3,2,2,1,1,1,3,2,2,3,1,1,4,3,2,3,2,1,4,3
"918","HOME","1",23,3,2,1,2,1,3,4,2,2,3,1,1,4,2,1,4,2,1,3,1
"919","HOME","1",123,3,2,1,2,2,2,3,2,1,4,3,1,3,4,2,3,2,1,3,1
"920","HOME","1",24,4,2,1,1,1,3,4,1,1,4,1,1,4,2,2,4,1,1,4,1
"921","HOME","1",25,3,3,2,2,1,2,2,3,3,3,2,2,2,3,2,3,2,2,3,2
"922","HOME","1",26,3,2,2,2,1,2,2,2,2,3,2,1,4,3,2,3,1,1,3,2
"923","HOME","1",27,3,3,2,3,2,2,1,4,3,3,4,3,2,3,2,2,2,2,3,3
"924","HOME","1",28,4,2,2,3,1,4,3,1,2,4,2,1,4,2,1,4,1,2,4,1
"925","HOME","1",29,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2
"926","HOME","1",30,4,2,1,2,1,3,4,2,2,4,2,1,4,3,2,3,2,1,3,2
"927","HOME","1",31,3,3,2,1,3,2,2,1,4,4,3,3,2,4,2,4,2,2,2,2
"928","HOME","1",32,3,2,1,1,1,2,3,2,1,3,1,1,4,2,2,2,1,2,3,2
"929","HOME","1",33,3,1,1,4,1,2,3,2,3,3,3,1,4,2,3,3,3,3,3,1
"930","HOME","1",34,4,2,2,2,2,1,3,2,2,3,2,2,3,4,1,3,1,1,3,2
"931","HOME","1",35,3,3,2,2,1,2,2,2,4,3,2,2,3,3,1,3,3,2,3,1
"932","HOME","1",36,2,2,2,2,3,1,2,3,3,3,2,2,3,3,2,2,3,3,3,2
"933","HOME","1",37,4,3,2,2,2,2,4,1,2,4,2,1,4,1,2,4,2,2,4,2
"934","HOME","1",38,4,2,2,1,1,2,2,2,2,4,2,1,3,2,2,4,3,1,4,2
"935","HOME","1",39,3,2,2,2,2,2,4,1,1,2,2,2,1,1,2,2,2,1,1,2
"936","HOME","1",40,2,3,1,3,3,1,1,3,4,2,2,3,1,3,2,2,1,2,1,4
"937","HOME","1",41,3,2,1,1,2,2,3,2,2,3,2,2,3,3,2,3,2,1,3,2
"938","HOME","1",42,4,2,1,2,2,2,3,2,2,4,1,1,4,3,1,4,2,2,4,1
"939","HOME","1",43,2,3,1,2,2,2,2,2,3,2,3,4,2,3,2,2,3,3,3,2
"940","HOME","1",44,3,1,1,2,2,2,2,1,2,3,2,1,3,2,1,3,2,1,3,1
"941","HOME","1",45,3,2,2,2,3,3,2,2,2,4,4,2,3,2,2,3,2,3,3,2
"942","HOME","1",46,3,2,1,1,1,2,3,3,1,3,1,1,3,4,1,3,2,1,3,2
"943","HOME","1",47,4,2,1,2,1,2,3,2,2,4,2,1,4,2,1,4,2,1,4,1
"944","HOME","1",48,2,4,2,3,2,1,2,2,2,2,2,2,2,1,2,2,1,1,3,1
"945","HOME","1",49,3,2,2,1,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"946","HOME","1",50,3,1,1,2,1,2,3,1,2,2,1,2,2,2,2,3,1,2,3,1
"947","HOME","1",51,4,2,1,2,2,2,3,2,2,4,1,1,4,2,1,4,2,1,3,1
"948","HOME","1",52,3,1,1,1,2,2,3,2,1,3,1,2,3,2,1,2,1,1,3,1
"949","HOME","1",53,4,2,1,2,1,2,3,2,2,4,2,1,4,2,2,3,1,2,4,2
"950","HOME","1",54,3,2,1,1,2,2,3,2,2,4,1,2,2,4,2,3,2,1,4,1
"951","HOME","1",55,3,2,1,2,2,2,3,2,2,3,2,3,3,3,2,3,2,2,4,2
"952","HOME","1",56,3,1,2,1,1,2,3,2,2,4,2,1,3,2,1,3,2,1,4,2
"953","HOME","1",57,3,2,2,1,2,1,2,2,3,2,2,1,3,2,2,3,1,1,3,1
"954","HOME","1",58,4,2,1,2,2,2,1,4,2,3,3,2,3,3,1,3,2,3,3,2
"955","HOME","1",59,3,2,2,1,1,2,2,2,3,3,2,2,2,3,2,2,3,2,3,2
"956","HOME","1",60,3,2,1,2,1,2,3,2,1,4,3,3,2,2,2,4,3,1,3,1
"957","HOME","1",61,3,3,2,1,2,3,3,3,1,4,3,2,3,3,1,1,3,2,3,2
"958","HOME","1",62,4,2,1,1,1,2,4,2,2,4,2,1,4,3,1,4,2,2,4,3
"959","HOME","1",63,2,2,1,2,1,1,3,3,2,1,3,2,1,2,2,2,1,3,3,1
"960","HOME","1",64,3,3,2,3,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2
"961","HOME","1",65,4,2,1,1,1,3,3,2,1,4,2,2,3,3,1,4,2,2,4,2
"962","HOME","1",67,3,2,2,1,1,2,2,2,1,3,2,2,3,2,1,3,1,1,2,2
"963","IMPS","1",1,3,3,2,2,1,2,2,2,3,4,3,2,3,2,2,3,2,2,3,2
"964","IMPS","1",2,3,1,1,1,1,3,3,1,1,4,2,1,3,1,2,3,1,1,3,1
"965","IMPS","1",3,4,2,2,2,1,2,3,2,1,4,2,2,3,4,2,2,2,1,4,2
"966","IMPS","1",4,3,2,1,1,1,3,4,2,2,3,2,2,3,2,1,3,2,1,4,2
"967","IMPS","1",5,4,2,1,1,2,4,4,1,1,4,2,1,4,1,1,4,1,1,4,1
"968","IMPS","1",6,2,3,2,3,2,1,2,3,3,2,3,3,2,2,3,3,3,3,3,3
"969","IMPS","1",7,2,2,3,4,3,2,1,3,3,1,3,4,1,3,3,1,3,4,1,3
"970","IMPS","1",8,3,2,2,2,2,3,3,2,2,4,2,2,2,2,2,3,2,2,3,2
"971","IMPS","1",9,2,2,1,2,2,2,3,2,3,3,1,2,3,2,2,3,2,1,3,2
"972","IMPS","1",10,3,1,1,1,2,3,4,2,2,3,3,2,3,3,2,3,2,2,3,2
"973","IMPS","1",11,3,2,2,2,3,3,4,1,2,3,2,2,2,2,2,3,1,1,3,2
"974","IMPS","1",12,3,2,2,2,2,2,2,2,3,3,3,2,2,3,2,3,3,2,2,2
"975","IMPS","1",13,3,2,1,2,2,2,3,2,2,3,1,2,3,2,1,3,1,2,3,1
"976","IMPS","1",14,3,1,1,2,1,3,4,1,1,4,1,1,3,2,1,4,2,1,3,1
"977","IMPS","1",15,2,2,2,1,2,2,3,2,1,3,2,1,4,2,2,2,2,2,3,1
"978","IMPS","1",16,3,2,1,1,1,1,2,2,2,3,1,1,4,4,2,3,2,1,3,2
"979","IMPS","1",17,4,2,2,1,1,3,2,2,2,4,3,2,4,3,2,4,3,2,3,3
"980","IMPS","1",18,3,2,1,1,2,2,3,2,2,3,1,2,3,2,2,4,2,1,3,1
"981","IMPS","1",19,3,1,1,2,1,2,4,2,3,4,2,1,4,1,1,4,3,2,4,1
"982","IMPS","1",20,4,2,1,1,1,3,2,1,2,4,2,1,4,1,1,4,2,1,4,1
"983","IMPS","1",21,4,2,1,1,1,3,4,1,2,4,1,1,4,1,1,4,2,1,4,1
"984","IMPS","1",22,4,2,1,1,1,3,4,1,2,4,1,2,4,1,1,4,1,1,4,1
"985","IMPS","1",23,2,3,1,1,1,3,3,2,2,3,2,2,4,4,3,4,4,2,3,2
"986","IMPS","1",24,3,2,2,2,1,2,3,2,2,3,3,2,2,2,1,3,3,1,4,1
"987","IMPS","1",25,3,3,1,3,2,2,3,3,2,3,1,1,3,2,2,3,3,2,2,3
"988","IMPS","1",26,3,2,1,1,2,3,2,2,2,3,3,2,3,2,1,3,1,2,3,2
"989","IMPS","1",27,3,2,2,2,2,3,3,1,2,3,3,2,3,3,2,3,3,2,3,2
"990","IMPS","1",28,3,2,1,2,2,2,3,2,2,3,2,1,2,3,2,2,2,1,3,2
"991","IMPS","1",29,3,2,2,1,2,3,2,2,3,4,3,2,3,2,2,4,3,2,3,2
"992","IMPS","1",30,3,3,1,2,2,1,3,3,3,4,2,1,3,2,1,4,2,1,4,2
"993","IMPS","1",31,4,3,1,1,1,2,4,1,2,4,1,2,4,4,1,4,2,1,4,1
"994","IMPS","1",32,2,3,2,2,2,2,3,3,2,3,4,2,3,2,2,3,2,3,3,2
"995","IMPS","1",33,3,2,2,1,3,3,4,1,2,4,1,1,4,2,2,3,1,1,3,1
"996","IMPS","1",34,3,1,1,2,1,3,4,1,2,3,2,3,2,2,2,4,4,1,4,2
"997","IMPS","1",35,3,2,2,2,1,3,4,2,2,4,2,1,4,3,2,4,2,1,4,2
"998","IMPS","1",36,2,3,1,1,2,1,1,1,3,2,3,2,2,3,2,2,2,3,2,2
"999","IMPS","1",37,3,2,2,2,1,2,4,2,2,2,3,2,3,2,2,2,2,3,4,2
"1000","IMPS","1",38,4,1,1,1,2,3,2,1,3,4,2,2,3,4,1,3,2,1,3,2
"1001","IMPS","1",39,2,2,2,2,1,2,2,2,1,3,1,3,4,2,2,3,2,1,3,1
"1002","IMPS","1",40,3,2,2,1,1,2,3,2,2,3,2,2,3,3,2,3,2,2,3,2
"1003","IMPS","1",41,4,2,1,2,1,3,4,1,1,4,1,2,4,2,1,4,1,1,4,1
"1004","IMPS","1",42,4,3,2,1,1,1,3,2,3,4,2,1,4,4,2,4,2,1,4,2
"1005","IMPS","1",43,4,2,2,2,2,3,4,2,2,4,2,2,4,1,2,4,1,1,4,2
"1006","IMPS","1",44,3,2,2,2,2,2,3,2,2,3,1,2,3,2,2,3,2,1,2,1
"1007","IMPS","1",45,3,2,1,2,2,3,3,1,2,3,2,2,4,2,2,3,1,1,3,1
"1008","IMPS","1",46,3,3,2,4,1,2,3,3,3,2,2,3,1,1,3,2,2,1,3,3
"1009","IMPS","1",47,3,2,1,2,2,3,4,2,2,4,1,1,4,3,2,4,2,1,4,1
"1010","IMPS","1",48,3,2,1,3,1,2,4,4,3,3,3,2,3,3,2,3,3,3,3,2
"1011","IMPS","1",49,4,1,2,1,1,3,4,1,2,3,1,1,4,1,1,4,2,1,4,1
"1012","IMPS","1",50,3,2,1,1,1,3,3,2,1,3,1,1,3,3,2,3,1,1,3,1
"1013","IMPS","1",51,4,1,1,2,2,4,3,2,1,3,1,1,2,4,1,4,1,1,4,1
"1014","IMPS","1",52,4,2,2,2,2,4,4,2,2,4,1,2,4,2,1,4,1,1,4,2
"1015","IMPS","1",53,3,2,2,3,2,2,2,3,2,3,2,3,2,4,2,2,2,1,2,1
"1016","IMPS","1",54,2,2,2,3,3,1,1,3,4,2,4,4,2,4,3,2,3,3,2,3
"1017","IMPS","1",55,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2
"1018","IMPS","1",56,3,2,1,3,3,2,4,1,3,3,3,1,3,1,2,3,2,3,4,3
"1019","IMPS","1",57,3,2,1,1,1,2,2,2,1,3,2,2,3,2,1,4,2,1,3,1
"1020","IMPS","1",58,4,2,1,1,4,1,4,2,2,4,1,1,4,3,2,4,1,1,4,1
"1021","IMPS","1",59,3,2,1,2,2,1,3,2,2,3,2,2,2,2,2,3,2,1,3,2
"1022","IMPS","1",60,2,2,1,3,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2
"1023","IMPS","1",61,3,2,1,2,2,3,3,1,2,3,1,2,3,2,1,3,2,2,3,2
"1024","IMPS","1",62,NA,4,2,3,2,3,2,3,NA,2,3,2,3,2,2,4,3,4,4,4
"1025","IMPS","1",63,3,2,2,1,1,2,3,1,2,3,2,2,3,3,2,3,2,2,3,2
"1026","IMPS","1",64,4,1,1,1,1,2,3,1,1,4,1,1,4,3,1,4,1,1,3,1
"1027","IMPS","1",65,4,2,2,2,3,3,3,2,2,4,3,2,3,2,2,4,2,2,4,2
"1028","IMPS","1",66,3,2,1,2,1,3,3,3,1,3,1,1,4,1,1,3,1,2,3,2
"1029","IMPS","1",67,3,1,2,2,1,2,2,3,2,4,3,2,2,2,1,3,2,1,2,1
"1030","IMPS","1",68,3,2,1,1,1,2,2,1,NA,3,1,2,3,1,1,3,1,1,3,1
"1031","IMPS","1",69,4,2,2,1,1,3,2,1,2,4,2,1,4,2,2,3,2,1,3,1
"1032","IMPS","1",70,4,3,1,2,1,2,3,2,2,4,2,1,4,4,2,4,2,1,3,1
"1033","IMPS","1",71,4,2,2,2,1,3,4,2,2,4,1,2,3,1,2,4,1,1,4,2
"1034","IMPS","1",72,3,2,1,1,1,2,3,3,1,3,3,2,3,2,2,2,2,2,2,3
"1035","IMPS","1",73,2,4,2,2,2,1,1,3,2,2,2,4,2,2,2,2,2,2,2,3
"1036","IMPS","1",74,2,1,2,2,1,2,3,2,4,3,4,3,2,4,2,2,3,4,3,2
"1037","IMPS","1",75,2,3,2,2,2,2,2,2,3,2,3,3,2,3,2,2,3,3,2,3
